Investor Loan Number,Seller Loan Number,Servicer Loan Number,Servicer
BC2018-003508,BC2018-003508,330166844,Cohen
BC2018-003665,BC2018-003665,330166845,Cohen
BC2018-003900,BC2018-003900,330166846,Cohen
BC2018-003287,BC2018-003287,330166904,Cohen
BC2018- 002853,BC2018-002853,330166947,Cohen
BC2018-003892,BC2018-003892,330166948,Cohen
BC2018-003862,BC2018-003862,330166949,Cohen
BC2018-003584,BC2018-003584,330166994,Cohen
BC2018-004000,BC2018-004000,330166995,Cohen
BC2018-003732,BC2018-003732,330167176,Cohen
BC2018-003927,BC2018-003927,330167334,Cohen
BC2018-003984,BC2018-003984,330167335,Cohen
BC2018-004097,BC2018-004097,330167336,Cohen
BC2018-004185,BC2018-004185,330167337,Cohen
BC2018-003917,BC2018-003917,330167380,Cohen
BC2018-004061,BC2018-004061,330167381,Cohen
BC2018-003646,BC2018-003646,330167568,Cohen
BC2018-004045,BC2018-004045,330167622,Cohen
BC2018-004174,BC2018-004174,330167623,Cohen
BC2018-003987,BC2018-003987,330167624,Cohen
BC2018-003942,BC2018-003942,330167625,Cohen
BC2018-004057,BC2018-004057,330168277,Cohen
BC2018-004517,BC2018-004517,330168823,Cohen
BC2019-005086,BC2019-005086,330168824,Cohen
BC2019-005066,BC2019-005066,330168850,Cohen
BC2019-005085,BC2019-005085,330168929,Cohen
BC2019-005301,BC2019-005301,330168938,Cohen
BC2019-005096,BC2019-005096,330169032,Cohen
BC2019-005095,BC2019-005095,330169033,Cohen
BC2019-005094,BC2019-005094,330169034,Cohen
BC2019-005395,BC2019-005395,330170673,Cohen
BC2019-005398,BC2019-005398,330170674,Cohen
BC2019-006415,BC2019-006415,330173622,Cohen
BC2019-008399,BC2019-008399,330173811,Cohen
BC2019-008260,BC2019-008260,330174547,Cohen
BC2019-009390,BC2019-009390,330174647,Cohen
BC2019-008627,BC2019-008627,330174777,Cohen
BC2019-007580,BC2019-007580,330175132,Cohen
BC2019-008770,BC2019-008770,330175895,Cohen
BC2019-008773,BC2019-008773,330175896,Cohen
BC2019-008774,BC2019-008774,330175897,Cohen
